ObjectId,Indicator,Unit,Date,Value
152,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M12,0.11
153,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M01,319.44
154,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M01,-0.04
155,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M02,320.44
156,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M02,0.13
157,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M03,320.89
158,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M03,0.05
159,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M04,322.14
160,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M04,0.09
161,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M05,322.17
162,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M05,-0.03
163,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M06,321.87
164,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M06,-0.01
165,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M07,321.21
166,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M07,0.24
167,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M08,318.87
168,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M08,0.06
169,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M09,317.81
170,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M09,0.35
171,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M10,317.3
172,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M10,0.14
173,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M11,318.87
174,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M11,0.37
175,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M12,319.42
176,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M12,0.22
177,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M01,320.62
178,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M01,0.37
179,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M02,321.6
180,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M02,0.36
181,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M03,322.39
182,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M03,0.47
183,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M04,323.7
184,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M04,0.48
185,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M05,324.08
186,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M05,0.59
187,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M06,323.75
188,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M06,0.58
189,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M07,322.38
190,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M07,0.36
191,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M08,320.36
192,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M08,0.47
193,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M09,318.64
194,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M09,0.26
195,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M10,318.1
196,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M10,0.25
197,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M11,319.78
198,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M11,0.29
199,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1966M12,321.03
200,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1966M12,0.5
201,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M01,322.33
202,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M01,0.53
203,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M02,322.5
204,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M02,0.28
205,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M03,323.04
206,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M03,0.2
207,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M04,324.42
208,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M04,0.22
209,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M05,325
210,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M05,0.28
211,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M06,324.09
212,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M06,0.11
213,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M07,322.54
214,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M07,0.05
215,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M08,320.92
216,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M08,0.17
217,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M09,319.25
218,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M09,0.19
219,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M10,319.39
220,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M10,0.41
221,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M11,320.73
222,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M11,0.3
223,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1967M12,321.96
224,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1967M12,0.29
225,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M01,322.57
226,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M01,0.07
227,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M02,323.15
228,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M02,0.2
229,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M03,323.89
230,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M03,0.26
231,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M04,325.02
232,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M04,0.18
233,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M05,325.57
234,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M05,0.18
235,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M06,325.36
236,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M06,0.39
237,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M07,324.14
238,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M07,0.5
239,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M08,322.11
240,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M08,0.37
241,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M09,320.33
242,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M09,0.34
243,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M10,320.25
244,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M10,0.27
245,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M11,321.32
246,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M11,0.18
247,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1968M12,322.89
248,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1968M12,0.29
249,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1969M01,324
250,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1969M01,0.44
251,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1969M02,324.42
252,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1969M02,0.39
253,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1969M03,325.63
254,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1969M03,0.54
255,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1969M04,326.66
256,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1969M04,0.5
257,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1969M05,327.38
258,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1969M05,0.56
259,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1969M06,326.71
260,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1969M06,0.41
261,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1969M07,325.88
262,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1969M07,0.54
263,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1969M08,323.66
264,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1969M08,0.48
265,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1969M09,322.38
266,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1969M09,0.64
267,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1969M10,321.78
268,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1969M10,0.48
269,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1969M11,322.86
270,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1969M11,0.48
271,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1969M12,324.12
272,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1969M12,0.38
273,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1970M01,325.06
274,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1970M01,0.33
275,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1970M02,325.98
276,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1970M02,0.48
277,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1970M03,326.93
278,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1970M03,0.4
279,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1970M04,328.13
280,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1970M04,0.45
281,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1970M05,328.08
282,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1970M05,0.21
283,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1970M06,327.67
284,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1970M06,0.29
285,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1970M07,326.34
286,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1970M07,0.14
287,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1970M08,324.69
288,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1970M08,0.32
